SelectionOrderAtt	ImId	correctVariant(s)	Slide_Num	Subject	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
1	2	correct	10	01-012-C	"18,-1,"	"1491.8,1492.37,1493.27,1494.07,1498.37,1498.73,1500.43,1502.43,1508.03,1508.6,1509.2,1510.07,1511.5,1511.77,1512.13,1513.4,1514.53,1514.93,"	31.2667
0	3	incorrect	10	01-012-C	"11,-1,"	"1490.83,1504.5,1505.13,1505.4,1505.6,1506.73,1509.57,1510.83,1512.4,1512.8,1512.97,"	-1
0	4	incorrect	10	01-012-C	"9,-1,"	"1495.17,1495.37,1495.53,1497.03,1499,1499.47,1501.1,1501.93,1502.97,"	-1
0	5	incorrect	10	01-012-C	"3,1,"	"1496.23,1496.43,1515.27,1517.73,"	-1
0	6	incorrect	10	01-012-C	"3,-1,"	"1503.8,1504.03,1504.2,"	-1
0	7	incorrect	10	01-012-C	"1,-1,"	"1495.77,"	-1
0	1	MasterImage	11	01-012-C	"22,-1,"	"1518.33,1518.6,1521.73,1523.5,1525.77,1527.7,1530.03,1530.57,1536.67,1536.9,1542.93,1543.43,1544.87,1556.5,1557.73,1559.2,1567.23,1568.27,1568.83,1574.7,1575.97,1581.67,"	-1
0	2	incorrect	11	01-012-C	"4,-1,"	"1526.63,1541.7,1542.53,1558.13,"	-1
0	3	incorrect	11	01-012-C	"6,-1,"	"1524.6,1526.27,1543.67,1569.73,1570.9,1583.83,"	-1
0	4	incorrect	11	01-012-C	"7,-1,"	"1530.77,1550.33,1552.9,1554.3,1554.97,1557,1563.6,"	-1
0	5	incorrect	11	01-012-C	"18,-1,"	"1526.97,1527.23,1528.37,1529.37,1532.97,1537.3,1538.9,1539.07,1540.63,1548.43,1549.73,1571.47,1573.17,1573.73,1576.63,1576.8,1579.9,1582.77,"	-1
1	6	correct	11	01-012-C	"11,-1,"	"1545.37,1547.47,1559.83,1560.8,1561.53,1565.33,1567.73,1569.3,1577.33,1577.93,1581.27,"	87.6
0	7	incorrect	11	01-012-C	"11,-1,"	"1534.23,1535.4,1535.9,1536.4,1537.97,1540.1,1551.47,1564.6,1584.37,1603.87,1604.77,"	-1
0	1	MasterImage	12	01-012-C	"22,-1,"	"1607.03,1607.43,1607.83,1608.03,1608.9,1609.13,1609.3,1611.47,1612.53,1613.23,1615.27,1617.23,1618.2,1620.17,1624.4,1635,1638.57,1639.73,1641.97,1642.13,1645.47,1645.7,"	-1
0	2	incorrect	12	01-012-C	"4,-1,"	"1618.97,1639.17,1640.03,1640.33,"	-1
1	3	correct	12	01-012-C	"22,-1,"	"1608.47,1608.73,1609.53,1609.87,1610.03,1611.1,1611.97,1612.97,1613.67,1614.53,1616.17,1616.6,1617.87,1618.57,1619.83,1620.87,1629.53,1639.37,1640.8,1642.57,1646,1646.17,"	41.1334
0	4	incorrect	12	01-012-C	"2,-1,"	"1621.63,1643.27,"	-1
0	5	incorrect	12	01-012-C	"8,-1,"	"1622.9,1635.33,1635.5,1635.7,1636.07,1636.5,1637.5,1646.57,"	-1
